meas_id,window,integr,t0_vary,tau,t0,init_value,final_value,redchi
0,5,False,False,183.6,0.0,0.162,0.616,4.195
0,5,False,True,164.2,17.1,0.165,0.614,4.161
0,5,True,False,186.4,0.0,0.162,0.616,4.205
0,5,True,True,163.8,19.8,0.165,0.613,4.162
0,30,False,False,169.2,0.0,0.162,0.612,0.673
0,30,False,True,166.6,2.5,0.162,0.611,0.673
0,30,True,False,186.1,0.0,0.16,0.613,0.722
0,30,True,True,163.5,19.9,0.163,0.611,0.673
0,60,False,False,152.4,0.0,0.164,0.609,0.31
0,60,False,True,161.8,-8.9,0.163,0.61,0.299
0,60,True,False,184.6,0.0,0.159,0.612,0.36
0,60,True,True,157.8,23.7,0.163,0.61,0.304
1,5,False,False,168.8,0.0,0.106,0.576,7.492
1,5,False,True,116.4,47.8,0.113,0.57,7.34
1,5,True,False,153.7,0.0,0.108,0.574,7.412
1,5,True,True,116.7,33.9,0.113,0.57,7.34
1,30,False,False,156.9,0.0,0.105,0.573,1.703
1,30,False,True,120.6,32.9,0.11,0.569,1.608
1,30,True,False,174.1,0.0,0.103,0.575,1.832
1,30,True,True,120.7,47.3,0.11,0.569,1.604
1,60,False,False,141.1,0.0,0.107,0.571,0.814
1,60,False,True,127.7,12.4,0.109,0.569,0.796
1,60,True,False,174.3,0.0,0.102,0.575,1.012
1,60,True,True,126.2,42.4,0.109,0.569,0.794
2,5,False,False,176.7,0.0,0.132,0.567,6.156
2,5,False,True,161.9,12.3,0.134,0.565,6.136
2,5,True,False,176.0,0.0,0.132,0.567,6.154
2,5,True,True,161.7,11.8,0.134,0.565,6.136
2,30,False,False,165.8,0.0,0.133,0.564,1.247
2,30,False,True,168.8,-2.5,0.132,0.564,1.247
2,30,True,False,183.5,0.0,0.131,0.566,1.263
2,30,True,True,168.2,12.6,0.132,0.564,1.248
2,60,False,False,150.0,0.0,0.134,0.562,0.644
2,60,False,True,168.7,-16.1,0.132,0.564,0.621
2,60,True,False,184.4,0.0,0.13,0.566,0.638
2,60,True,True,165.2,15.7,0.132,0.563,0.62
